CAMPUS,PROGRAM,DEGREE,CONCENTRATION,PROGRAM_NAME,CIP_CODE,CIP_2DIGIT_CATEGORY
University of Hawaii at West Oahu,Business Administration,Bachelor of Arts,Hospitality and Tourism,Business Administration (Bachelor of Arts - Hospitality and Tourism),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Hospitality and Tourism,Certificate of Achievement,Hospitality Management,Hospitality and Tourism (Certificate of Achievement - Hospitality Management),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,International Business,Bachelor of Bus Admin,,International Business (Bachelor of Bus Admin),521101,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Hawaii Community College,Hotel Operations,Certificate of Achievement,,Hotel Operations (Certificate of Achievement),520904,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at West Oahu,Risk Management & Insurance,Subject Certificate,,Risk Management & Insurance (Subject Certificate),521701,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Hilo,Business Administration,Bachelor of Bus Admin,Agribusiness,Business Administration (Bachelor of Bus Admin - Agribusiness),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at West Oahu,Business Administration,Subject Certificate,Digital Marketing,Business Administration (Subject Certificate - Digital Marketing),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Hawaii Community College,Business Technology,Certificate of Competence,Medical Office Assistant,Business Technology (Certificate of Competence - Medical Office Assistant),520401,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,Business Econ/Stat,Bachelor of Bus Admin,,Business Econ/Stat (Bachelor of Bus Admin),520601,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,History,Master of Arts,,History (Master of Arts),540101,HISTORY
University of Hawaii at Manoa,History,Doctor of Philosophy,,History (Doctor of Philosophy),540101,HISTORY
UH Maui College,Agriculture,Associate in Applied Science,Sustainable Trop Crop Mgmt.,Agriculture (Associate in Applied Science - Sustainable Trop Crop Mgmt.),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Plant & Environ Protection Sci,Bachelor of Science,,Plant & Environ Protection Sci (Bachelor of Science),011105,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Animal Sciences,Master of Science,,Animal Sciences (Master of Science),010901,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Hawaii Community College,Agriculture,Certificate of Competence,Landscape Worker,Agriculture (Certificate of Competence - Landscape Worker),010606,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Sustainable Agriculture,Certificate of Competence,,Sustainable Agriculture (Certificate of Competence),010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Sustainable Agriculture,Certificate of Competence,Aquaponics Technician,Sustainable Agriculture (Certificate of Competence - Aquaponics Technician),010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,Animal Health & Management,Agriculture (Bachelor of Science - Animal Health & Management),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Environmental Science,Bachelor of Science,,Environmental Science (Bachelor of Science),030104,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Global Environmental Science,Bachelor of Science,Environmental Planning,Global Environmental Science (Bachelor of Science - Environmental Planning),030104,NATURAL RESOURCES AND CONSERVATION
Hawaii Community College,Trop Forest Ecosys & Agrof Mgt,Certificate of Achievement,,Trop Forest Ecosys & Agrof Mgt (Certificate of Achievement),030101,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Landscape Architecture,Master of Landscape Arch,,Landscape Architecture (Master of Landscape Arch),040601,ARCHITECTURE AND RELATED SERVICES
University of Hawaii at Hilo,Japanese Studies,Bachelor of Arts,Native Speakers,Japanese Studies (Bachelor of Arts - Native Speakers),050127,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Asian Studies,Master of Arts,,Asian Studies (Master of Arts),050103,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Women's Studies,Bachelor of Arts,,Women's Studies (Bachelor of Arts),050207,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Hilo,Hawaiian Studies,Bachelor of Arts,Continuing the Culture,Hawaiian Studies (Bachelor of Arts - Continuing the Culture),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Hilo,Hawaiian Studies,Bachelor of Arts,Monitoring the Culture,Hawaiian Studies (Bachelor of Arts - Monitoring the Culture),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Kapiolani Community College,Hawaiian Studies,Associate in Arts,,Hawaiian Studies (Associate in Arts),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Kauai Community College,Hawaiian Studies,Academic Subject Certificate,Hawaiian Studies,Hawaiian Studies (Academic Subject Certificate - Hawaiian Studies),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Hawaiian Studies,Bachelor of Arts,Haw Perspect on Resour Mgmt,Hawaiian Studies (Bachelor of Arts - Haw Perspect on Resour Mgmt),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Hawaiian Studies,Bachelor of Arts,NH Creat Expression,Hawaiian Studies (Bachelor of Arts - NH Creat Expression),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Hawaiian Studies,Master of Arts,Haw Perspect on Resour Mgmt,Hawaiian Studies (Master of Arts - Haw Perspect on Resour Mgmt),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Telecom & Info Resource Mgt,Graduate Certificate,,Telecom & Info Resource Mgt (Graduate Certificate),109999,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
UH Maui College,Creative Media,Certificate of Achievement,,Creative Media (Certificate of Achievement),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Honolulu Community College,Comp Electronics&Network Tech,Advanced Prof Certificate-UHCC,,Comp Electronics&Network Tech (Advanced Prof Certificate-UHCC),110901,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
University of Hawaii at Manoa,Computer Science,Special Non-Degree,,Computer Science (Special Non-Degree),110701,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Information& Computer Sciences,Certificate of Achievement,,Information& Computer Sciences (Certificate of Achievement),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Information& Computer Sciences,Associate in Science,Information SecuritySpecialist,Information& Computer Sciences (Associate in Science - Information SecuritySpecialist),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Honolulu Community College,Comp Security&Network Tech,Certificate of Achievement,Network Technology,Comp Security&Network Tech (Certificate of Achievement - Network Technology),110901,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Honolulu Community College,Comp Electronics&Network Tech,Certificate of Achievement,Network Technology,Comp Electronics&Network Tech (Certificate of Achievement - Network Technology),110901,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Digital Media Production,Associate in Science,,Digital Media Production (Associate in Science),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Hawaii Community College,Information Technology,Certificate of Competence,Software Developer Specialist,Information Technology (Certificate of Competence - Software Developer Specialist),110103,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
University of Hawaii at Manoa,Information& Computer Sciences,Bachelor of Arts,Creative Computational Media,Information& Computer Sciences (Bachelor of Arts - Creative Computational Media),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Kapiolani Community College,Information Technology,Certificate of Competence,Help Desk Services,Information Technology (Certificate of Competence - Help Desk Services),110103,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Information& Computer Sciences,Associate in Science,Database Support Specialist,Information& Computer Sciences (Associate in Science - Database Support Specialist),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
UH Maui College,Food Service,Certificate of Achievement,,Food Service (Certificate of Achievement),120500,PERSONAL AND CULINARY SERVICES
Kapiolani Community College,Culinary Arts,Certificate of Achievement,Culinary Arts,Culinary Arts (Certificate of Achievement - Culinary Arts),120500,PERSONAL AND CULINARY SERVICES
Leeward Community College,Culinary Arts,Certificate of Competence,Preparation Cook,Culinary Arts (Certificate of Competence - Preparation Cook),120500,PERSONAL AND CULINARY SERVICES
Kapiolani Community College,Culinary Arts,Certificate of Competence,Culinary Competition,Culinary Arts (Certificate of Competence - Culinary Competition),120500,PERSONAL AND CULINARY SERVICES
Kapiolani Community College,Culinary Arts,Certificate of Competence,Dining Room,Culinary Arts (Certificate of Competence - Dining Room),120500,PERSONAL AND CULINARY SERVICES
Kauai Community College,Culinary Arts,Certificate of Competence,Culinary Arts,Culinary Arts (Certificate of Competence - Culinary Arts),120500,PERSONAL AND CULINARY SERVICES
Hawaii Community College,Culinary Arts,Certificate of Achievement,,Culinary Arts (Certificate of Achievement),120500,PERSONAL AND CULINARY SERVICES
Kapiolani Community College,Culinary Arts,Certificate of Competence,Culinary Arts,Culinary Arts (Certificate of Competence - Culinary Arts),120500,PERSONAL AND CULINARY SERVICES
University of Hawaii at Manoa,"Sec Education, History",Bachelor of Education,,"Sec Education, History (Bachelor of Education)",131205,EDUCATION
University of Hawaii at Manoa,"Sec Education, Political Sci",Bachelor of Education,,"Sec Education, Political Sci (Bachelor of Education)",131205,EDUCATION
Kauai Community College,Early Childhood Education,Associate in Science,,Early Childhood Education (Associate in Science),131210,EDUCATION
University of Hawaii at Manoa,Elementary Education,Bachelor of Education,,Elementary Education (Bachelor of Education),131202,EDUCATION
University of Hawaii at Manoa,"Sec Education, French",Bachelor of Education,,"Sec Education, French (Bachelor of Education)",131205,EDUCATION
University of Hawaii at Manoa,Second Language Studies,Graduate Certificate,,Second Language Studies (Graduate Certificate),131401,EDUCATION
Honolulu Community College,Early Childhood Education,Associate in Science,Early Child Ed(Infant/Toddler),Early Childhood Education (Associate in Science - Early Child Ed(Infant/Toddler)),131210,EDUCATION
Leeward Community College,Teaching,Certificate of Competence,Special Education II,Teaching (Certificate of Competence - Special Education II),131501,EDUCATION
Hawaii Community College,Early Childhood Education,Certificate of Achievement,,Early Childhood Education (Certificate of Achievement),131210,EDUCATION
University of Hawaii at Manoa,Elem Education & Special  Educ,Bachelor of Education,,Elem Education & Special  Educ (Bachelor of Education),131001,EDUCATION
University of Hawaii at Manoa,"Sec Education, English",Bachelor of Education,,"Sec Education, English (Bachelor of Education)",131205,EDUCATION
Honolulu Community College,Early Childhood Education,Certificate of Competence,Child Development Assoc,Early Childhood Education (Certificate of Competence - Child Development Assoc),131210,EDUCATION
University of Hawaii at Manoa,Elementary Education,Bachelor of Education,"Elem Education, Multilingual","Elementary Education (Bachelor of Education - Elem Education, Multilingual)",131202,EDUCATION
University of Hawaii at Manoa,"Sec Education, Art",Bachelor of Education,,"Sec Education, Art (Bachelor of Education)",131205,EDUCATION
UH Maui College,Early Childhood Education,Certificate of Competence,Basic EarlyChildhood Ed for HI,Early Childhood Education (Certificate of Competence - Basic EarlyChildhood Ed for HI),131210,EDUCATION
University of Hawaii at Manoa,"Elem Education, Early Child",Bachelor of Education,Birth-Age 8,"Elem Education, Early Child (Bachelor of Education - Birth-Age 8)",131210,EDUCATION
University of Hawaii at Manoa,Counseling,Master of Education,,Counseling (Master of Education),131101,EDUCATION
University of Hawaii at Manoa,Education,Doctor of Philosophy,Kinesiology,Education (Doctor of Philosophy - Kinesiology),130101,EDUCATION
Leeward Community College,Teaching,Certificate of Competence,Special Education,Teaching (Certificate of Competence - Special Education),131501,EDUCATION
University of Hawaii at Manoa,Curriculum Studies,Graduate Certificate,Teacher Leader,Curriculum Studies (Graduate Certificate - Teacher Leader),130301,EDUCATION
University of Hawaii at Manoa,Curriculum Studies,Graduate Certificate,Sustainability Resilience Ed,Curriculum Studies (Graduate Certificate - Sustainability Resilience Ed),130301,EDUCATION
University of Hawaii at Hilo,Pre-Engineering,Bachelor of Arts,,Pre-Engineering (Bachelor of Arts),140102,ENGINEERING
University of Hawaii at Manoa,Mechanical Engineering,Doctor of Philosophy,,Mechanical Engineering (Doctor of Philosophy),141901,ENGINEERING
University of Hawaii at Manoa,Electrical&ComputerEngineering,Master of Science,,Electrical&ComputerEngineering (Master of Science),141001,ENGINEERING
UH Maui College,Electronics & Comp Engin Tech,Associate in Science,,Electronics & Comp Engin Tech (Associate in Science),151202,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Honolulu Community College,Architectural Eng & CAD Tech,Certificate of Achievement,,Architectural Eng & CAD Tech (Certificate of Achievement),151303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Hawaii Community College,Electronics Technology,Associate in Applied Science,,Electronics Technology (Associate in Applied Science),150303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Hawaii Community College,Drafting & Engineering Aide,Associate in Applied Science,,Drafting & Engineering Aide (Associate in Applied Science),151301,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
University of Hawaii at Manoa,Telecom and Entrepreneurship,Graduate Certificate,,Telecom and Entrepreneurship (Graduate Certificate),150305,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Kauai Community College,Electronics Technology,Associate in Applied Science,,Electronics Technology (Associate in Applied Science),150303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Hawaii Community College,Electronics Technology,Certificate of Achievement,,Electronics Technology (Certificate of Achievement),150303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Kauai Community College,Electronics Technology,Certificate of Achievement,Network Admin & Security,Electronics Technology (Certificate of Achievement - Network Admin & Security),150303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Hawaii Community College,Engineering Tech,Certificate of Competence,Geospatial Technologies,Engineering Tech (Certificate of Competence - Geospatial Technologies),159999,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Hawaii Community College,Onsite Wastewater Treatmt Syst,Certificate of Competence,,Onsite Wastewater Treatmt Syst (Certificate of Competence),150506,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
University of Hawaii at Manoa,East Asian Lang & Lit-Korean,Doctor of Philosophy,,East Asian Lang & Lit-Korean (Doctor of Philosophy),160303,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,East Asian Lang & Lit-Chinese,Doctor of Philosophy,,East Asian Lang & Lit-Chinese (Doctor of Philosophy),160301,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,Second Language Acquisition,Doctor of Philosophy,,Second Language Acquisition (Doctor of Philosophy),160199,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,Classics,Bachelor of Arts,,Classics (Bachelor of Arts),161200,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,Linguistics,Doctor of Philosophy,,Linguistics (Doctor of Philosophy),160102,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
UH Maui College,Fashion Technology,Certificate of Competence,Seamstress,Fashion Technology (Certificate of Competence - Seamstress),190902,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
Honolulu Community College,Fashion Technology,Certificate of Competence,Comp Grading Marking & Ptrnmkg,Fashion Technology (Certificate of Competence - Comp Grading Marking & Ptrnmkg),190902,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
University of Hawaii at Manoa,Nutrition,Doctor of Philosophy,,Nutrition (Doctor of Philosophy),190504,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
University of Hawaii at Manoa,Human Dev & Family Science,Bachelor of Science,,Human Dev & Family Science (Bachelor of Science),190101,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
University of Hawaii at Manoa,General (Pre-Law),Bachelor of Arts,,General (Pre-Law) (Bachelor of Arts),220001,LEGAL PROFESSIONS AND STUDIES
Leeward Community College,Writing,Academic Subject Certificate,Creative Track,Writing (Academic Subject Certificate - Creative Track),231301,ENGLISH LANGUAGE AND LITERATURE/LETTERS
University of Hawaii at Manoa,National Student Exchange (Sr),Non Degree,,National Student Exchange (Sr) (Non Degree),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at Manoa,National Student Exchange (So),Non Degree,,National Student Exchange (So) (Non Degree),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Windward Community College,Liberal Arts,Associate in Arts,Theatre,Liberal Arts (Associate in Arts - Theatre),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at West Oahu,Humanities,Subject Certificate,Asian Studies,Humanities (Subject Certificate - Asian Studies),240103,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kauai Community College,Liberal Arts,Associate in Arts,Exploratory Business,Liberal Arts (Associate in Arts - Exploratory Business),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Hawaii Community College,Liberal Arts,Associate in Arts,Sociology,Liberal Arts (Associate in Arts - Sociology),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kapiolani Community College,Liberal Arts,Associate in Arts,Exploratory Health Sciences,Liberal Arts (Associate in Arts - Exploratory Health Sciences),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kapiolani Community College,Liberal Arts,Associate in Arts,Economics,Liberal Arts (Associate in Arts - Economics),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at West Oahu,General-Undeclared,Bachelor of Arts,,General-Undeclared (Bachelor of Arts),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at West Oahu,Humanities,Bachelor of Arts,Hawaiian/Pacific Studies,Humanities (Bachelor of Arts - Hawaiian/Pacific Studies),240103,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at West Oahu,Humanities,Subject Certificate,Hawaiian,Humanities (Subject Certificate - Hawaiian),240103,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Windward Community College,Liberal Arts,Academic Subject Certificate,Aerospace Option Program,Liberal Arts (Academic Subject Certificate - Aerospace Option Program),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Hawaii Community College,Liberal Arts,Academic Subject Certificate,Marine Option Program,Liberal Arts (Academic Subject Certificate - Marine Option Program),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kauai Community College,Liberal Arts,Academic Subject Certificate,Fitness Professional,Liberal Arts (Academic Subject Certificate - Fitness Professional),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Leeward Community College,Liberal Arts,Academic Subject Certificate,Sustainability Issues,Liberal Arts (Academic Subject Certificate - Sustainability Issues),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at Hilo,Marine Science,Bachelor of Science,,Marine Science (Bachelor of Science),261302,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Hilo,Biology,Bachelor of Science,"Ecology, Evolutn, Conserv Biol","Biology (Bachelor of Science - Ecology, Evolutn, Conserv Biol)",260101,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Zoology,Master of Science,"Ecology, Evolutn, Conserv Biol","Zoology (Master of Science - Ecology, Evolutn, Conserv Biol)",260701,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Microbiology,Doctor of Philosophy,,Microbiology (Doctor of Philosophy),260502,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Botany,Doctor of Philosophy,,Botany (Doctor of Philosophy),260301,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Cell & Molecular Biology,Master of Science,,Cell & Molecular Biology (Master of Science),260406,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Cell & Molecular Biology,Master of Science,"Ecology, Evolutn, Conserv Biol","Cell & Molecular Biology (Master of Science - Ecology, Evolutn, Conserv Biol)",260406,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Cell & Molecular Biology,Doctor of Philosophy,,Cell & Molecular Biology (Doctor of Philosophy),260406,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Entomology,Master of Science,"Ecology, Evolutn, Conserv Biol","Entomology (Master of Science - Ecology, Evolutn, Conserv Biol)",260702,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Botany,Master of Science,"Ecology, Evolutn, Conserv Biol","Botany (Master of Science - Ecology, Evolutn, Conserv Biol)",260301,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Hilo,Mathematics,Bachelor of Science,Teaching,Mathematics (Bachelor of Science - Teaching),270101,MATHEMATICS AND STATISTICS
University of Hawaii at Hilo,International Studies-Tourism,Subject Certificate,,International Studies-Tourism (Subject Certificate),302001,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Hilo,Natural Science,Bachelor of Arts,Environmental Science,Natural Science (Bachelor of Arts - Environmental Science),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,Conflict Resolution,Graduate Certificate,,Conflict Resolution (Graduate Certificate),300501,MULTI/INTERDISCIPLINARY STUDIES
Windward Community College,Natural Science,Associate in Science,Info & Communication Tech,Natural Science (Associate in Science - Info & Communication Tech),301801,MULTI/INTERDISCIPLINARY STUDIES
Kapiolani Community College,Natural Science,Certificate of Achievement,STEM Education,Natural Science (Certificate of Achievement - STEM Education),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Hilo,Natural Science,Bachelor of Arts,Chemistry,Natural Science (Bachelor of Arts - Chemistry),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Hilo,Natural Science,Bachelor of Arts,Earth Sciences,Natural Science (Bachelor of Arts - Earth Sciences),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,Peace Studies,Subject Certificate,,Peace Studies (Subject Certificate),300501,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,Geography & Environment,Master of Arts,,Geography & Environment (Master of Arts),304401,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,Religions & Ancient Civs,Bachelor of Arts,Ancient Civilizations,Religions & Ancient Civs (Bachelor of Arts - Ancient Civilizations),302299,MULTI/INTERDISCIPLINARY STUDIES
Windward Community College,Natural Science,Associate in Science,Information& Computer Sciences,Natural Science (Associate in Science - Information& Computer Sciences),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,"KRS, Health & Exercise Science",Bachelor of Science,,"KRS, Health & Exercise Science (Bachelor of Science)",310505,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES"
University of Hawaii at Hilo,Kinesiology & Exercise Science,Subject Certificate,Indigenous Public Health,Kinesiology & Exercise Science (Subject Certificate - Indigenous Public Health),310505,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES"
University of Hawaii at Manoa,Geology & Geophysics,Master of Science,,Geology & Geophysics (Master of Science),400601,PHYSICAL SCIENCES
University of Hawaii at Manoa,Oceanography,Master of Science,,Oceanography (Master of Science),400607,PHYSICAL SCIENCES
University of Hawaii at Manoa,Atmospheric Sciences,Master of Science,,Atmospheric Sciences (Master of Science),400401,PHYSICAL SCIENCES
University of Hawaii at Manoa,Atmospheric Sciences,Doctor of Philosophy,,Atmospheric Sciences (Doctor of Philosophy),400401,PHYSICAL SCIENCES
University of Hawaii at Manoa,Earth Sciences,Bachelor of Science,Planetary Science,Earth Sciences (Bachelor of Science - Planetary Science),400601,PHYSICAL SCIENCES
University of Hawaii at Manoa,Oceanography,Doctor of Philosophy,"Ecology, Evolutn, Conserv Biol","Oceanography (Doctor of Philosophy - Ecology, Evolutn, Conserv Biol)",400607,PHYSICAL SCIENCES
University of Hawaii at Manoa,Chemistry,Doctor of Philosophy,,Chemistry (Doctor of Philosophy),400501,PHYSICAL SCIENCES
Windward Community College,Psycho-Social Develop Studies,Academic Subject Certificate,,Psycho-Social Develop Studies (Academic Subject Certificate),420101,PSYCHOLOGY
UH Maui College,Administration of Justice,Certificate of Competence,Corrections I,Administration of Justice (Certificate of Competence - Corrections I),430107,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
UH Maui College,Administration of Justice,Certificate of Competence,Law Enforcement II,Administration of Justice (Certificate of Competence - Law Enforcement II),430107,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
Hawaii Community College,Fire Science,Associate in Science,Emergency Medical Technician,Fire Science (Associate in Science - Emergency Medical Technician),430203,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
University of Hawaii at Manoa,Disaster Mgt&Humanitarian Asst,Graduate Certificate,,Disaster Mgt&Humanitarian Asst (Graduate Certificate),430302,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
University of Hawaii at West Oahu,Cybersecurity,Bachelor of Science,Cyber Operations,Cybersecurity (Bachelor of Science - Cyber Operations),430403,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
UH Maui College,Human Services,Certificate of Competence,Substance Abuse Counseling I,Human Services (Certificate of Competence - Substance Abuse Counseling I),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
UH Maui College,Human Services,Certificate of Competence,Substance Abuse Counseling II,Human Services (Certificate of Competence - Substance Abuse Counseling II),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
Honolulu Community College,Human Services,Associate in Applied Science,Early Childhood Education,Human Services (Associate in Applied Science - Early Childhood Education),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
Honolulu Community College,Human Services,Associate in Applied Science,,Human Services (Associate in Applied Science),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
Honolulu Community College,Human Services,Certificate of Achievement,,Human Services (Certificate of Achievement),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
UH Maui College,Human Services,Certificate of Competence,Community Health Worker,Human Services (Certificate of Competence - Community Health Worker),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
